stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"de:09184:2359:1:1-Hst","Haar, Jagdfeldzentrum","48.10757394","11.72203530","","de:09184:2359"
"de:09184:2456","Grünwald, Derbolfinger Platz","48.04187397","11.52395678","1",""
"de:09184:2456:1:1-Hst","Grünwald, Derbolfinger Platz","48.04191001","11.52400169","","de:09184:2456"
"de:09184:2456:2:2-Hst","Grünwald, Derbolfinger Platz","48.04218028","11.52346270","","de:09184:2456"
"de:09184:2458","Grünwald, Bavariafilmplatz","48.06764537","11.54630686","1",""
"de:09184:2458:1:1-Hst","Grünwald, Bavariafilmplatz","48.06743526","11.54634279","","de:09184:2458"
"de:09184:2458:1:2-Hst","Grünwald, Bavariafilmplatz","48.06775942","11.54624398","","de:09184:2458"
"de:09184:2460","Grünwald, Robert-Koch-Straße","48.06277069","11.54512108","1",""
"de:09184:2460:1:1-Hst","Grünwald, Robert-Koch-Straße","48.06248251","11.54502227","","de:09184:2460"
"de:09184:2460:1:2-Hst","Grünwald, Robert-Koch-Straße","48.06303484","11.54514803","","de:09184:2460"
"de:09184:2462","Grünwald, Parkplatz","48.05518160","11.54073731","1",""
"de:09184:2462:1:1-Hst","Grünwald, Parkplatz","48.05503749","11.54065646","","de:09184:2462"
"de:09184:2462:1:2-Hst","Grünwald, Parkplatz","48.05533771","11.54079120","","de:09184:2462"
"de:09184:2464","Grünwald, Ludwig-Thoma-Straße","48.04960314","11.53558098","1",""
"de:09184:2464:1:1-Hst","Grünwald, Ludwig-Thoma-Straße","48.04945902","11.53550013","","de:09184:2464"
"de:09184:2464:1:2-Hst","Grünwald, Ludwig-Thoma-Straße","48.04972925","11.53565284","","de:09184:2464"
"de:09184:2490","Unterföhring, Rathaus","48.19214109","11.64112404","1",""
"de:09184:2490:2:2-Hst","Unterföhring, Rathaus","48.19308726","11.64130370","","de:09184:2490"
"de:09184:2490:3:3-Hst","Unterföhring, Rathaus","48.19165003","11.64012691","","de:09184:2490"
"de:09184:2494","Unterföhring, ZDF-Straße","48.19069785","11.65532640","1",""
"de:09184:2494:1:1-Hst","Unterföhring, ZDF-Straße","48.19061999","11.65570370","","de:09184:2494"
"de:09184:2494:2:2-Hst","Unterföhring, ZDF-Straße","48.19076971","11.65497606","","de:09184:2494"
"de:09184:2498","Unterföhring, Beta-Straße","48.18478072","11.65168823","1",""
"de:09184:2498:1:1-Hst","Unterföhring, Beta-Straße","48.18476874","11.65144568","","de:09184:2498"
"de:09184:2498:2:2-Hst","Unterföhring, Beta-Straße","48.18479869","11.65191280","","de:09184:2498"
"de:09184:2510","Unterföhring, Heinrich-Hildebrand-Weg","48.18788310","11.65481436","1",""
"de:09184:2510:1:1-Hst","Unterföhring, H.-Hildebrand-Weg","48.18781123","11.65472453","","de:09184:2510"
"de:09184:2510:2:2-Hst","Unterföhring, H.-Hildebrand-Weg","48.18796695","11.65490419","","de:09184:2510"
"de:09184:2559","Martinsried, Würmtalstraße","48.11478946","11.45257664","1",""
"de:09184:2559:1:1-Hst","Martinsried, Würmtalstraße","48.11495139","11.45220833","","de:09184:2559"
"de:09184:2559:2:2-Hst","Martinsried, Würmtalstraße","48.11465152","11.45296292","","de:09184:2559"
"de:09184:2564","Gräfelfing, Neuer Friedhof","48.11988709","11.45038475","1",""
"de:09184:2564:1:1-Hst","Gräfelfing, Neuer Friedhof","48.11989309","11.45043865","","de:09184:2564"
"de:09184:2564:1:2-Hst","Gräfelfing, Neuer Friedhof","48.11990508","11.45032187","","de:09184:2564"
"de:09184:2567","Gräfelfing, Am Haag","48.12329923","11.45133697","1",""
"de:09184:2567:1:1-Hst","Gräfelfing, Am Haag","48.12329923","11.45141782","","de:09184:2567"
"de:09184:2567:1:2-Hst","Gräfelfing, Am Haag","48.12326925","11.45124714","","de:09184:2567"
"de:09184:2569","Gräfelfing, Seeholzenstraße","48.12132034","11.45077103","1",""
"de:09184:2569:1:1-Hst","Gräfelfing, Seeholzenstraße","48.12147625","11.45089679","","de:09184:2569"
"de:09184:2569:1:2-Hst","Gräfelfing, Seeholzenstraße","48.12115243","11.45064527","","de:09184:2569"
"de:09184:2580","Lochham Bf.","48.12850994","11.43093623","1",""
"de:09184:2580:1:1-Hst","Lochham Bf.","48.12844399","11.43359524","","de:09184:2580"
"de:09184:2580:1:2-Hst","Lochham Bf.","48.12855191","11.43370304","","de:09184:2580"
"de:09184:2592","Lochham, Im Birket","48.13445754","11.43760173","1",""
"de:09184:2592:1:1-Hst","Lochham, Im Birket","48.13436762","11.43743105","","de:09184:2592"
